"codigo","asignatura","sesiones_asignatura","eventos_comunes","estado"
"29729","Máquinas e instalaciones de fluidos","280","32","Disponible"
"29820","Mecánica de fluidos","59","32","Disponible"
"29923","Fluidotecnia","84","32","Disponible"
"30013","Mecánica de fluidos","272","32","Disponible"
"26935","","0","32","No disponible en el catálogo 2026/2027"
"60870","Ingeniería de fluidos","50","32","Disponible"
"60890","Máquinas e Instalaciones de Fluidos","16","32","Disponible"
"60873","Proyecto módulo 2 - Instalaciones energéticas, químicas y de fluidos","44","32","Disponible"
"69921","Métodos numéricos y experimentales en ingeniería térmica y de fluidos","41","32","Disponible"
"67030","Modelos computacionales en industria y medioambiente","10","32","Disponible"
"62652","Computational Engineering","20","32","Disponible"
"62657","Computational Flow Simulation in Engineering","17","32","Disponible"
"62656","Multiscale and Multiphysics simulation","19","32","Disponible"
"29625","Mecánica de fluidos","168","32","Disponible"
"29716","Mecánica de fluidos","348","32","Disponible"
"29752","Hidráulica y neumática industrial","33","32","Disponible"
"29917","Mecánica de fluidos","88","32","Disponible"
"29928","Experimentación en ingeniería química I","100","32","Disponible"
"30042","","0","32","No disponible en el catálogo 2026/2027"
"30018","Máquinas e instalaciones de fluidos","306","32","Disponible"
"69932","Centrales hidráulicas y eólicas","16","32","Disponible"
"32115","Mecánica de Fluidos","60","32","Disponible"
"29766","Redes de distribución de fluidos","36","32","Disponible"
"29953","Fundamentos de Modelado y Simulación en Ingeniería Química","36","32","Disponible"
"62665","Industrial Computational Fluid Dynamics","15","32","Disponible"
"62675","Environmental Computational Fluid Dynamics","13","32","Disponible"
"62672","Reduced Order Modeling and Digital Twins","16","32","Disponible"
"62668","Acceleration for Artificial Intelligence and Computational Engineering Applications","13","32","Disponible"
